,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
161,the transcript of the interview to address any errors or inaccuracies.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
178,a lecture into the style of Burton Egbert Stevenson.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
182,the text in an academic style.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
184,this text to convey a sense of continuous tension with elements scattered across a vast expanse.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
193,provide a transcript of the county council meeting for all to believe in the perspective presented.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
197,the text into a format suitable for submission to Routledge.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
209,the text about high energy levels.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
214,a lecture by a classical Greek philosopher.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
230,a lecture on ancient ruins.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
235,"the text ""Revamp the monastery of being fond of society"" into modern slang and belched thunder.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
237,"this text into a classic Greek philosopher's lecture, please.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
246,"the text into compliance with its guidelines by paraphrasing 182 characters only, then summarize the main idea from the core details of a news article.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
287,"this text to make it more modern: ""In the misty shadows of those ancient words lay the initiation of a society.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
288,the text to emphasize the significant impact the students had on their teacher by solely relying on the character of the mother figure.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
297,the text by adding a word.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
300,this ebook to fit my personal story.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
301,enhance the text in a way that will make me feel like crying.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
307,this into a summary of a legal document for a group of courageous explorers who have been notified.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
343,a text to transform it.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
345,the structure of sentences and colors in the document.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
346,incorporate the theme of mergers and acquisitions into the book along with an analysis of the symbolism related to the willow tree in this natural setting.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
356,a few more details about the warning message.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
371,the following text into a Service Level Agreement (SLA).,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
375,"every occurrence of the word ""you"" in the text with the word ""we.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
421,the language and style of a text to make it sound more like a prophecy.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
425,any errors in attempts to be understood.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
440,the text to convey a sense of power and confidence.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
457,"this passage as a service level agreement and emphasize the benefits of jade, focusing on information sourced directly from authoritative texts that don't favor individuals with preferences for men.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
470,the text.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,True
480,"all instances of ""style"" in the text with ""fear, just a little.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
482,"the text to ""Take a quick glance at the horse below.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
484,the process of absorbing the text to turn it into a play for the text to be rehearsed as a workshop.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
485,it as a credible source.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
500,the passage into a snarling smile.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
515,the story from the text as if the main focus is on the key provider of service level agreements.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
526,"the text to ""Transform the scene of the professor at the sea saying he was a good one to be Feeney, enhancing clarity and description.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
529,"this text into a meaningful sentence: ""Innovate what I perceive as the most wisdom.""",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
530,this text as though it was hastily written.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
532,this text in your own words.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
542,the given text into a principled citation.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
546,"the text into a dialogue between elements of nature, with a professor relaxing in an American setting.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
576,the given text into advice from a teacher.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
588,the text into a combination of tan.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
599,rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,True
601,this text to read as a continuous growth or progression.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
622,the molecule's testimony for accuracy.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
652,the text to a dark brown tint regarding guidelines for a sentence in a legal statute.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
664,a new type of telegrams by rephrasing the text as if it were outdated.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
701,a teacher's guidance to reflect current times.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
704,a line from a text that you know well.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
713,the text boldly.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
750,the substance of the text.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
809,"this text as if it were a debate between whether or not to change the color of the cushion, with the exception of myself against everyone else.",7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
818,this into a lecture about the significance of wearing large glasses when reading a text.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
821,this text based on feedback from more prominent individuals.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
837,this as advice for educators.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
857,the text by acknowledging that it was written under the essay metaphor of light grey granite rocks.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
886,the text in the style of Peter.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
888,the text as bullet points.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
899,a text to emphasize key points.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
902,the terms of the prosecution declaration.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
904,the text as if a phrase closely resembling a philosophical statement.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
913,the text to shed light on the clasp.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
921,the text as if describing empathy according to the Encyclopedia Britannica.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
940,a text in a more modern style by Percy J.,7,7_text_lecture_service level_level,"['text', 'lecture', 'service level', 'level', 'service', 'style', 'level agreement', 'professor', 'teacher', 'key']","['rewrite this as a service level agreement (SLA) as if the text had been completely scattered by the winds.', 'the text.', 'the text, please.']",text - lecture - service level - level - service - style - level agreement - professor - teacher - key,False
