generation,score,sentence,color
1,0.6871016339816198,Indicate an reconstruct this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6870488589446037,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and a dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6870340953595832,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.687030600111171,Indicate an reconstruct this this for an ventured piece to sit certitude in in with improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6870184360967367,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve and dear yet reasonable way to actually give more undertone what the the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6870040781542893,Indicate an reconstruct this this for an ventured piece to sit certitude in with that a improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6869578371186814,Indicate an reconstruct this for an ventured piece to sit certitude in with improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
1,0.6869511018435503,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6872446334105896,Indicate an reconstruct this for an ventured piece to sit certitude in with that in improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6872199412242774,Indicate an reconstruct this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6871692968065077,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve in that and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6871668217849642,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve and a dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.68715497500674,Indicate an reconstruct this this for an ventured piece to sit certitude in with improve in and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6871099828780828,Indicate an reconstruct this this for an ventured piece to sit certitude in with in improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.687105993359876,Indicate an reconstruct this this for an ventured piece to sit certitude in with that in improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6871016339816198,Indicate an reconstruct this for an ventured piece to sit certitude in with that improve and dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6870764655970436,Indicate an reconstruct this for an ventured piece to sit certitude in with that improve and a dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
2,0.6870488589446034,Indicate an reconstruct this this for an ventured piece to sit certitude in with that improve and a dear yet reasonable way to actually give more undertone what the the has of someone please wording spoke about- is- from their such compound of contents; thine change all the presence of both using by etext.,"(0.30500281825569775, 0.8083747769100991, 0.7850542714355614)"
